counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/first_language,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/gender,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,295.0775,295.8032,l,1,0.0557,,0.0557,1,295.8053,296.3031,296.3056,296.3072,-0.308333333,0.094444444,0,0,0,,0,80,80,397,1,398,MAS,DIS,150,0,cheque,la,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,296.3084,297.1037,l,1,0.1165,,0.1165,1,297.104,297.6037,297.6039,297.6042,-0.308333333,0.094444444,0,0,0,,0,81,81,92,1,93,FEM,AGR,150,0,nariz,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,297.609,298.7047,l,1,0.4199,,0.4199,1,298.705,299.2033,299.2035,299.2036,-0.295370356,0.098148134,0,0,0,,0,82,82,325,1,326,MAS,DIS,150,0,video,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,299.2077,300.6083,l,0,0.7285,,0.7285,0,300.6104,301.1041,301.1043,301.1047,-0.295370356,0.098148134,0,0,0,,0,83,83,552,1,553,MAS,AGR,150,1,koala,el,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,301.1105,302.5761,l,1,0.7977,,0.7977,1,302.5794,303.0746,303.0749,303.0753,-0.295370356,0.098148134,0,0,0,,0,84,84,44,1,45,FEM,AGR,150,0,lata,la,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,303.0796,303.9612,l,1,0.2159,,0.2159,1,303.9615,304.4543,304.4546,304.4553,-0.295370356,0.098148134,0,0,0,,0,85,85,393,1,394,MAS,DIS,150,0,abrigo,la,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,304.4581,307.1047,,0,,,0.2159,-1,307.1084,307.6097,307.6142,307.6163,-0.295370356,0.098148134,0,0,0,,0,86,86,81,1,82,FEM,DIS,150,0,señal,el,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,307.6197,308.8533,l,0,0.5655,,0.5655,0,308.8563,309.3592,309.3593,309.3601,-0.295370356,0.098148134,0,0,0,,0,87,87,419,1,420,FEM,DIS,150,1,gata,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,309.3628,312.0032,,0,,,0.5655,-1,312.0056,312.5034,312.5039,312.5047,-0.287962935,0.213888889,0,0,0,,0,88,88,390,1,391,MAS,AGR,150,0,correo,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,312.5084,313.6703,s,1,0.4896,,0.4896,1,313.6744,314.1707,314.1711,314.1717,-0.287962935,0.213888889,0,0,0,,0,89,89,462,1,463,FEM,AGR,150,1,ostra,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,314.1767,316.1039,s,0,1.2527,,1.2527,0,316.1074,316.6036,316.6042,316.6051,-0.287962935,0.213888889,0,0,0,,0,90,90,373,1,374,MAS,DIS,150,0,puente,la,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,316.6098,317.8883,s,1,0.6198,,0.6198,1,317.8911,318.3861,318.3911,318.3932,-0.287962935,0.213888889,0,0,0,,0,91,91,511,1,512,MAS,DIS,150,1,gorila,la,6,,,,,
