counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_keyboard.rt,instr_done_keyboard.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1055.4232,1056.5527,l,1,0.4513,,0.4513,1,1056.553,1057.0527,,,1057.0529,1057.0531,-0.133333333,-0.387037037,0,0,0,,0,474,474,221,1,222,MAS,DIS,150,0,cine,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1057.0556,1058.1518,l,1,0.417,,0.417,1,1058.1522,1058.659,,,1058.6609,1058.6621,-0.133333333,-0.387037037,0,0,0,,0,475,475,178,1,179,FEM,AGR,150,0,muñeca,la,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1058.663,1059.7836,l,1,0.4503,,0.4503,1,1059.7839,1060.2838,,,1060.2841,1060.2844,-0.133333333,-0.387037037,0,0,0,,0,476,476,233,1,234,MAS,DIS,150,0,tono,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1060.286,1061.4158,s,1,0.4506,,0.4506,1,1061.4163,1061.9155,,,1061.9156,1061.916,-0.133333333,-0.387037037,0,0,0,,0,477,477,425,1,426,FEM,DIS,150,1,pulga,el,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1061.9179,1062.9486,l,1,0.3506,,0.3506,1,1062.949,1063.4477,,,1063.4479,1063.4481,-0.133333333,-0.387037037,0,0,0,,0,478,478,119,1,120,FEM,DIS,150,0,tribu,el,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1063.4501,1064.4974,l,1,0.367,,0.367,1,1064.4978,1064.9965,,,1064.9966,1064.997,-0.133333333,-0.387037037,0,0,0,,0,479,479,213,1,214,MAS,DIS,150,0,baño,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1064.9989,1065.9955,l,1,0.3245,,0.3245,1,1065.9958,1066.4949,,,1066.4973,1066.4978,-0.133333333,-0.387037037,0,0,0,,0,480,480,397,1,398,MAS,DIS,150,0,cheque,la,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1066.4983,1067.6445,s,1,0.4671,,0.4671,1,1067.6449,1068.1436,,,1068.1437,1068.1442,-0.133333333,-0.387037037,0,0,0,,0,481,481,426,1,427,FEM,AGR,150,1,cebra,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1068.146,1069.2182,l,1,0.3997,,0.3997,1,1069.2182,1069.7099,,,1069.7102,1069.7107,-0.133333333,-0.387037037,0,0,0,,0,482,482,129,1,130,FEM,DIS,150,0,plaza,el,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,1069.7119,1070.8498,s,1,0.4666,,0.4666,1,1070.8499,1071.3417,,,1071.342,1071.3425,-0.133333333,-0.387037037,0,0,0,,0,483,483,521,1,522,MAS,DIS,150,1,ganso,la,5,,,,
