counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,195.6505,196.886,s,1,0.5765,,0.5765,1,196.8862,197.3861,197.3861,197.3861,0.819444444,-0.051851852,0,0,0,,0,50,50,423,1,424,FEM,AGR,150,1,loba,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,197.3867,198.5319,s,0,0.4878,,0.4878,0,198.5324,199.0319,199.0319,199.0319,0.819444444,-0.051851852,0,0,0,,0,51,51,384,1,385,MAS,DIS,150,0,parque,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,199.0325,200.2124,s,1,0.5241,,0.5241,1,200.2129,200.7124,200.713,200.7133,0.819444444,-0.051851852,0,0,0,,0,52,52,421,1,422,FEM,AGR,150,1,vaca,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,200.7136,202.0318,s,1,0.6608,,0.6608,1,202.0319,202.5318,202.5319,202.5319,0.819444444,-0.051851852,0,0,0,,0,53,53,540,1,541,MAS,DIS,150,1,pulpo,la,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,202.5325,203.768,s,1,0.5767,,0.5767,1,203.7681,204.2679,204.268,204.2681,0.819444444,-0.051851852,0,0,0,,0,54,54,475,1,476,FEM,AGR,150,1,grulla,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,204.2685,205.4138,l,1,0.4876,,0.4876,1,205.4139,205.9138,205.9138,205.9139,0.819444444,-0.051851852,0,0,0,,0,55,55,113,1,114,FEM,AGR,150,0,salsa,la,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,205.9143,207.0665,l,1,0.4926,,0.4926,1,207.0666,207.5665,207.5665,207.5666,0.819444444,-0.051851852,0,0,0,,0,56,56,395,1,396,MAS,AGR,150,0,premio,el,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,207.5673,208.8651,l,1,0.6395,,0.6395,1,208.8652,209.3652,209.3652,209.3652,0.819444444,-0.051851852,0,0,0,,0,57,57,47,1,48,FEM,AGR,150,0,fase,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,209.3657,210.8791,l,1,0.858,,0.858,1,210.8791,211.3789,211.3795,211.3799,0.819444444,-0.051851852,0,0,0,,0,58,58,222,1,223,MAS,DIS,150,0,taxi,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,211.3802,212.6012,s,1,0.5621,,0.5621,1,212.6013,213.1012,213.1013,213.1013,0.819444444,-0.051851852,0,0,0,,0,59,59,503,1,504,MAS,AGR,150,1,erizo,el,5,,,,
