counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_touch.clicked_name,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,463.2401,464.1825,s,1,0.2668,,0.2668,1,464.1825,464.6823,,464.6823,464.6825,-0.111754964,-0.398321601,0,0,0,,0,145,145,320,1,321,MAS,DIS,150,0,dueño,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,464.6837,465.6605,s,1,0.2948,,0.2948,1,465.6605,466.169,,466.169,466.1693,-0.111754964,-0.398321601,0,0,0,,0,146,146,380,1,381,MAS,DIS,150,0,efecto,la,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,466.1703,466.963,s,0,0.1115,,0.1115,0,466.9638,467.4618,,467.4629,467.4643,-0.111754964,-0.398321601,0,0,0,,0,147,147,549,1,550,MAS,AGR,150,1,chacal,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,467.4653,468.3101,s,1,0.1841,,0.1841,1,468.3108,468.7977,,468.7978,468.798,-0.111754964,-0.398321601,0,0,0,,0,148,148,283,1,284,MAS,AGR,150,0,poder,el,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,468.7991,469.6097,s,1,0.1361,,0.1361,1,469.6098,470.109,,470.1091,470.1093,-0.111754964,-0.398321601,0,0,0,,0,149,149,160,1,161,FEM,DIS,150,0,pareja,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,470.1104,470.9258,s,1,0.1329,,0.1329,1,470.9259,471.4242,,471.4246,471.4247,-0.111754964,-0.398321601,0,0,0,,0,150,150,241,1,242,MAS,AGR,150,0,pico,el,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,471.426,472.3081,s,1,0.2054,,0.2054,1,472.3083,472.8098,,472.8099,472.81,-0.111754964,-0.398321601,0,0,0,,0,151,151,206,1,207,FEM,DIS,150,0,lógica,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,472.8111,473.623,s,0,0.1265,,0.1265,0,473.6238,474.1231,,474.1268,474.1279,-0.111754964,-0.398321601,0,0,0,,0,152,152,432,1,433,FEM,DIS,150,1,oveja,el,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,474.1297,474.9885,l,1,0.1892,,0.1892,1,474.9893,475.4899,,475.49,475.4902,-0.111754964,-0.398321601,0,0,0,,0,153,153,451,1,452,FEM,AGR,150,1,sepia,la,5,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,475.4912,476.5378,s,1,0.3726,,0.3726,1,476.5379,477.0381,,477.0382,477.0383,-0.111754964,-0.398321601,0,0,0,,0,154,154,66,1,67,FEM,DIS,150,0,bota,el,4,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,477.0402,477.8708,s,0,0.1464,,0.1464,0,477.8719,478.3726,,478.3726,478.3728,-0.111754964,-0.398321601,0,0,0,,0,155,155,547,1,548,MAS,AGR,150,1,narval,el,6,,,,,
,,,,,,,6e964b5132c2ea0222cac9fd,67d30250bc6dd184d4aaad81,67d7e9a6201df410f7a7df5f,2025-03-17_02h22.15.586,Tarea de clasificación semántica,2024.2.5,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,478.3739,479.0865,s,1,0.0325,,0.0325,1,479.0874,479.5863,,479.5864,479.5865,-0.111754964,-0.398321601,0,0,0,,0,156,156,114,1,115,FEM,DIS,150,0,frase,el,5,,,,,
