counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,568.699,569.795,s,1,0.4385,1,569.795,570.2951,0.4385,,570.2951,570.2952,0.065740741,-0.400925926,0,0,0,,0,316,316,358,1,359,MAS,DIS,150,0,estado,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,570.2959,571.3367,l,1,0.3824,1,571.3368,571.8366,0.3824,,571.8366,571.8367,0.065740741,-0.400925926,0,0,0,,0,317,317,428,1,429,FEM,DIS,150,1,cobra,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,571.8374,572.9407,l,1,0.4449,1,572.9408,573.4407,0.4449,,573.4408,573.4409,0.065740741,-0.400925926,0,0,0,,0,318,318,533,1,534,MAS,AGR,150,1,cerdo,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,573.4416,574.5658,l,1,0.4685,1,574.5659,575.0658,0.4685,,575.0665,575.0668,0.065740741,-0.400925926,0,0,0,,0,319,319,427,1,428,FEM,AGR,150,1,ostra,la,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,575.0672,576.17,l,1,0.4461,1,576.1701,576.67,0.4461,,576.67,576.67,0.065740741,-0.400925926,0,0,0,,0,320,320,440,1,441,FEM,DIS,150,1,grulla,el,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,576.6707,577.677,s,1,0.3499,1,577.677,578.1768,0.3499,,578.1769,578.1769,0.065740741,-0.400925926,0,0,0,,0,321,321,371,1,372,MAS,AGR,150,0,motivo,el,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,578.1776,579.1351,s,1,0.2994,1,579.1352,579.6351,0.2994,,579.6351,579.6353,0.065740741,-0.400925926,0,0,0,,0,322,322,144,1,145,FEM,DIS,150,0,ciudad,el,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,579.6359,580.6074,s,1,0.3159,1,580.6074,581.1073,0.3159,,581.1074,581.1074,0.065740741,-0.400925926,0,0,0,,0,323,323,311,1,312,MAS,AGR,150,0,nivel,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,581.108,582.2672,l,1,0.5006,1,582.2673,582.767,0.5006,,582.767,582.7671,0.065740741,-0.400925926,0,0,0,,0,324,324,439,1,440,FEM,AGR,150,1,iguana,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,582.7677,583.781,s,1,0.355,1,583.7811,584.2808,0.355,,584.2816,584.282,0.065740741,-0.400925926,0,0,0,,0,325,325,242,1,243,MAS,DIS,150,0,oído,la,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,584.2823,585.2321,s,1,0.2921,1,585.2322,585.7322,0.2921,,585.7322,585.7323,0.065740741,-0.400925926,0,0,0,,0,326,326,187,1,188,FEM,AGR,150,0,gloria,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,585.733,586.8988,s,1,0.5073,1,586.8989,587.3987,0.5073,,587.3989,587.3989,0.065740741,-0.400925926,0,0,0,,0,327,327,249,1,250,MAS,AGR,150,0,nido,el,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,587.3996,588.4752,s,1,0.4157,1,588.4753,588.9752,0.4157,,588.9752,588.9753,0.065740741,-0.400925926,0,0,0,,0,328,328,41,1,42,FEM,AGR,150,0,risa,la,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,588.9759,590.0377,s,1,0.4041,1,590.0378,590.5378,0.4041,,590.5378,590.538,0.065740741,-0.400925926,0,0,0,,0,329,329,182,1,183,FEM,DIS,150,0,maleta,el,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,590.5387,591.6697,s,1,0.472,1,591.6697,592.1695,0.472,,592.1703,592.1706,0.065740741,-0.400925926,0,0,0,,0,330,330,164,1,165,FEM,DIS,150,0,mirada,el,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,592.1711,593.1696,s,1,0.3436,1,593.1697,593.6695,0.3436,,593.6695,593.6696,0.065740741,-0.400925926,0,0,0,,0,331,331,120,1,121,FEM,DIS,150,0,prima,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,593.6703,594.7112,s,1,0.3838,1,594.7113,595.2112,0.3838,,595.2112,595.2113,0.065740741,-0.400925926,0,0,0,,0,332,332,30,1,31,FEM,DIS,150,0,ruta,el,4,,,
