counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,578.274,579.2872,s,1,0.3361,1,579.2874,579.7873,0.3361,,579.7875,579.7877,0.717899306,0.263372396,0,0,0,,0,140,140,253,1,254,MAS,DIS,150,0,cubo,la,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,579.7898,580.9401,s,1,0.4683,1,580.9403,581.4393,0.4683,,581.4412,581.4457,0.717899306,0.263372396,0,0,0,,0,141,141,140,1,141,FEM,AGR,150,0,maldad,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,581.447,582.3221,s,1,0.2007,1,582.3223,582.8226,0.2007,,582.8227,582.8233,0.717899306,0.263372396,0,0,0,,0,142,142,34,1,35,FEM,AGR,150,0,roca,la,4,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,582.8251,583.9898,l,0,0.4862,0,583.9909,584.4878,0.4862,,584.4879,584.4882,0.717899306,0.263372396,0,0,0,,0,143,143,174,1,175,FEM,AGR,150,0,cadena,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,584.4903,585.6549,s,1,0.4905,1,585.656,586.1564,0.4905,,586.1566,586.1567,0.717899306,0.263372396,0,0,0,,0,144,144,406,1,407,MAS,AGR,150,0,título,el,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,586.1588,587.1571,s,1,0.325,1,587.1573,587.6571,0.325,,587.6573,587.6574,0.717899306,0.263372396,0,0,0,,0,145,145,344,1,345,MAS,AGR,150,0,tiempo,el,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,587.6595,588.6727,s,1,0.3364,1,588.6728,589.1738,0.3364,,589.174,589.1742,0.717899306,0.263372396,0,0,0,,0,146,146,398,1,399,MAS,AGR,150,0,espejo,el,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,589.1761,590.3062,s,0,0.4584,0,590.3081,590.8062,0.4584,,590.8081,590.8125,0.717899306,0.263372396,0,0,0,,0,147,147,507,1,508,MAS,DIS,150,1,mirlo,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,590.8139,591.8215,s,1,0.3345,1,591.8228,592.3243,0.3345,,592.3243,592.3246,0.717899306,0.263372396,0,0,0,,0,148,148,131,1,132,FEM,DIS,150,0,selva,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,592.3266,593.34,s,1,0.3332,1,593.3401,593.8383,0.3332,,593.8385,593.8387,0.717899306,0.263372396,0,0,0,,0,149,149,339,1,340,MAS,DIS,150,0,patio,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,593.841,594.7062,s,1,0.1896,1,594.7063,595.2052,0.1896,,595.2053,595.2055,0.717899306,0.263372396,0,0,0,,0,150,150,327,1,328,MAS,DIS,150,0,truco,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,595.2075,596.2243,s,0,0.3495,0,596.2256,596.7232,0.3495,,596.7233,596.7236,0.717899306,0.263372396,0,0,0,,0,151,151,542,1,543,MAS,AGR,150,1,mirlo,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,596.7254,597.722,s,1,0.3183,1,597.7231,598.2232,0.3183,,598.2249,598.2292,0.717899306,0.263372396,0,0,0,,0,152,152,126,1,127,FEM,AGR,150,0,viuda,la,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,598.2304,599.1732,s,1,0.267,1,599.1734,599.6747,0.267,,599.6748,599.675,0.717899306,0.263372396,0,0,0,,0,153,153,292,1,293,MAS,AGR,150,0,dolor,el,5,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,599.677,600.7082,s,1,0.3593,1,600.7085,601.2054,0.3593,,601.2056,601.2057,0.717899306,0.263372396,0,0,0,,0,154,154,357,1,358,MAS,DIS,150,0,futuro,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,601.2073,602.2387,s,1,0.3667,1,602.2389,602.7392,0.3667,,602.7393,602.7395,0.717899306,0.263372396,0,0,0,,0,155,155,138,1,139,FEM,AGR,150,0,verdad,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,602.7424,603.7391,s,1,0.324,1,603.7393,604.2404,0.324,,604.2423,604.2425,0.717899306,0.263372396,0,0,0,,0,156,156,168,1,169,FEM,AGR,150,0,fuente,la,6,,,,,
,,,,,,,0d28738f2015b0e6a00937a5,67d30250bc6dd184d4aaad81,67d9b33060dd345cce450581,2025-03-18_10h55.07.886,Tarea de clasificación semántica,2024.2.5,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,604.2441,605.4416,l,0,0.5169,0,605.4435,605.9419,0.5169,,605.942,605.9422,0.716970486,0.263372396,0,0,0,,0,157,157,3,1,4,FEM,DIS,150,0,hora,el,4,,,,,
