counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,628.3422,629.6233,l,1,0.6002,1,629.6234,630.1234,0.6002,,630.1235,630.1237,-0.359166654,-0.079999987,0,0,0,,0,302,302,493,1,494,MAS,DIS,150,1,toro,la,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,630.125,630.9899,s,0,0.1903,0,630.9917,631.4896,0.1903,,631.4912,631.492,-0.359166654,-0.079999987,0,0,0,,0,303,303,458,1,459,FEM,AGR,150,1,loba,la,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,631.4932,632.4737,s,1,0.3069,1,632.4757,632.9734,0.3069,,632.9735,632.9736,-0.359166654,-0.079999987,0,0,0,,0,304,304,259,1,260,MAS,DIS,150,0,puño,la,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,632.9751,633.9561,s,1,0.3063,1,633.9563,634.4559,0.3063,,634.4561,634.4562,-0.359166654,-0.079999987,0,0,0,,0,305,305,84,1,85,FEM,AGR,150,0,tarde,la,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,634.4578,635.4738,s,1,0.3443,1,635.4739,635.9725,0.3443,,635.9726,635.9728,-0.359166654,-0.079999987,0,0,0,,0,306,306,224,1,225,MAS,AGR,150,0,dios,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,635.9744,637.0892,l,1,0.4354,1,637.0893,637.5891,0.4354,,637.5893,637.5897,-0.359166654,-0.079999987,0,0,0,,0,307,307,543,1,544,MAS,DIS,150,1,pájaro,la,6,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,637.5912,638.8227,s,1,0.5541,1,638.8228,639.3221,0.5541,,639.3238,639.3248,-0.359166654,-0.079999987,0,0,0,,0,308,308,222,1,223,MAS,AGR,150,0,taxi,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,639.3259,640.3388,s,1,0.339,1,640.339,640.8386,0.339,,640.8387,640.8388,-0.359166654,-0.079999987,0,0,0,,0,309,309,288,1,289,MAS,AGR,150,0,cielo,el,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,640.8402,641.8884,l,1,0.3668,1,641.8886,642.3884,0.3668,,642.3886,642.3887,-0.359166654,-0.079999987,0,0,0,,0,310,310,492,1,493,MAS,AGR,150,1,pato,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,642.3902,643.4217,s,1,0.3553,1,643.4219,643.9224,0.3553,,643.9225,643.9227,-0.359166654,-0.079999987,0,0,0,,0,311,311,57,1,58,FEM,DIS,150,0,loca,el,4,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,643.9243,644.8386,s,1,0.2416,1,644.8387,645.3385,0.2416,,645.3386,645.3388,-0.359166654,-0.079999987,0,0,0,,0,312,312,299,1,300,MAS,DIS,150,0,papel,la,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,645.3403,646.2558,s,1,0.2453,1,646.2559,646.7545,0.2453,,646.7546,646.755,-0.359166654,-0.079999987,0,0,0,,0,313,313,100,1,101,FEM,AGR,150,0,magia,la,5,,,,,
,,,,,,,9519432724f245f51d490409,67d30250bc6dd184d4aaad81,67d894ff774389093fd80b6b,2025-03-17_15h04.48.363,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,646.7563,647.7378,s,1,0.3025,1,647.7379,648.2388,0.3025,,648.2404,648.2412,-0.359166654,-0.079999987,0,0,0,,0,314,314,183,1,184,FEM,DIS,150,0,alarma,el,6,,,,,
