TrialID,StimulusType,Condition,PrimeDuration,Prime,Flanker,corrAns,Transparency
248.0,FEM,CON,150.0,letra,,a,Transparent
249.0,FEM,DIS,150.0,crema,el,a,Transparent
250.0,MAS,AGR,150.0,cerdo,el,l,Transparent
251.0,MAS,CON,150.0,dueño,,l,Transparent
252.0,MAS,DIS,150.0,viejo,la,l,Transparent
253.0,FEM,AGR,150.0,aldea,la,a,Transparent
254.0,FEM,CON,150.0,caída,,a,Transparent
255.0,FEM,DIS,150.0,tribu,el,a,Opaque
256.0,MAS,AGR,150.0,techo,el,l,Transparent
257.0,MAS,CON,150.0,pecho,,l,Transparent
258.0,MAS,DIS,150.0,polvo,la,l,Transparent
259.0,FEM,AGR,150.0,prima,la,a,Transparent
260.0,FEM,CON,150.0,barra,,a,Transparent
261.0,FEM,DIS,150.0,cueva,el,a,Transparent
262.0,MAS,AGR,150.0,video,el,l,Transparent
263.0,MAS,CON,150.0,carro,,l,Transparent
264.0,MAS,DIS,150.0,pollo,la,l,Transparent
265.0,FEM,AGR,150.0,rueda,la,a,Transparent
266.0,FEM,CON,150.0,jaula,,a,Transparent
267.0,FEM,DIS,150.0,barba,el,a,Transparent
268.0,MAS,AGR,150.0,truco,el,l,Transparent
269.0,MAS,CON,150.0,primo,,l,Transparent
270.0,MAS,DIS,150.0,queso,la,l,Transparent
271.0,FEM,AGR,150.0,viuda,la,a,Transparent
272.0,FEM,CON,150.0,oreja,,a,Transparent
273.0,FEM,DIS,150.0,tarta,el,a,Transparent
274.0,MAS,AGR,150.0,motor,el,l,Opaque
275.0,MAS,CON,150.0,disco,,l,Transparent
276.0,MAS,DIS,150.0,ritmo,la,l,Transparent
277.0,FEM,AGR,150.0,plaza,la,a,Transparent
278.0,FEM,CON,150.0,presa,,a,Transparent
279.0,FEM,DIS,150.0,selva,el,a,Transparent
280.0,MAS,AGR,150.0,salón,el,l,Opaque
281.0,MAS,CON,150.0,actor,,l,Opaque
282.0,MAS,DIS,150.0,bolso,la,l,Transparent
283.0,FEM,AGR,150.0,pluma,la,a,Transparent
284.0,FEM,CON,150.0,fruta,,a,Transparent
285.0,FEM,DIS,150.0,mafia,el,a,Transparent
286.0,MAS,AGR,150.0,reino,el,l,Transparent
287.0,MAS,CON,150.0,plato,,l,Transparent
288.0,MAS,DIS,150.0,grado,la,l,Transparent
289.0,FEM,AGR,150.0,tabla,la,a,Transparent
290.0,FEM,CON,150.0,cabra,,a,Transparent
291.0,FEM,DIS,150.0,aguja,el,a,Transparent
292.0,MAS,AGR,150.0,piano,el,l,Transparent
293.0,MAS,CON,150.0,patio,,l,Transparent
294.0,MAS,DIS,150.0,cable,la,l,Opaque
295.0,FEM,AGR,150.0,grasa,la,a,Transparent
296.0,FEM,CON,150.0,feria,,a,Transparent
297.0,FEM,DIS,150.0,manta,el,a,Transparent
298.0,MAS,AGR,150.0,botón,el,l,Opaque
299.0,MAS,CON,150.0,rumbo,,l,Transparent
300.0,MAS,DIS,150.0,túnel,la,l,Opaque
301.0,FEM,AGR,150.0,verdad,la,a,Opaque
302.0,FEM,CON,150.0,cabeza,,a,Transparent
303.0,FEM,DIS,150.0,maldad,el,a,Opaque
304.0,MAS,AGR,150.0,tiempo,el,l,Transparent
