word	frq	zipf	num_letters	
fianza	14.052822	4.147764	6	
título	24.428695	4.387900	6	
veneno	24.934519	4.396801	6	
océano	25.479252	4.406187	6	
huella	13.534029	4.131427	6	
corona	19.158616	4.282364	6	
niebla	13.761001	4.138650	6	
objeto	22.589139	4.353900	6	
hombro	22.124387	4.344871	6	
tanque	22.448633	4.351190	6	
toalla	13.257339	4.122456	6	
patada	13.039013	4.115245	6	
medida	19.711996	4.294731	6	
cuadro	20.682573	4.315605	6	
templo	25.448989	4.405671	6	
límite	23.088478	4.363395	6	
bondad	12.001426	4.079233	6	
bañera	10.989778	4.040989	6	
lógica	14.794265	4.170093	6	
aceite	20.751745	4.317055	6	
payaso	18.665763	4.271046	6	
conejo	19.655794	4.293491	6	
