TrialID,Gender,StimulusType,Condition,PrimeDuration,Prime,Flanker,PairedWith,Transparency
130,MAS,NOWORD,DIS,150,pima,la,oído,Opaque
131,FEM,WORD,DIS,150,mina,el,fada,Transparent
132,FEM,NOWORD,AGR,150,fada,la,mina,Transparent
133,FEM,WORD,AGR,150,vaca,la,vesa,Transparent
134,FEM,NOWORD,DIS,150,vesa,el,vaca,Transparent
135,MAS,WORD,AGR,150,tubo,el,geso,Transparent
136,MAS,NOWORD,AGR,150,geso,el,tubo,Transparent
137,MAS,WORD,DIS,150,nene,la,pamo,Opaque
138,MAS,NOWORD,DIS,150,pamo,la,nene,Transparent
139,MAS,WORD,AGR,150,mago,el,nila,Transparent
140,MAS,NOWORD,AGR,150,nila,el,mago,Opaque
141,FEM,WORD,DIS,150,cruz,el,sina,Opaque
142,FEM,NOWORD,DIS,150,sina,el,cruz,Transparent
143,MAS,WORD,DIS,150,pavo,la,pezo,Transparent
144,MAS,NOWORD,AGR,150,pezo,el,pavo,Transparent
145,MAS,WORD,AGR,150,león,el,nobo,Opaque
146,MAS,NOWORD,DIS,150,nobo,la,león,Transparent
147,FEM,WORD,AGR,150,hoja,la,pama,Transparent
148,FEM,NOWORD,AGR,150,pama,la,hoja,Transparent
149,MAS,WORD,DIS,150,cabo,la,pafo,Transparent
150,MAS,NOWORD,DIS,150,pafo,la,cabo,Transparent
151,MAS,WORD,AGR,150,tomo,el,sogo,Transparent
152,MAS,NOWORD,AGR,150,sogo,el,tomo,Transparent
153,MAS,WORD,DIS,150,pato,la,tado,Transparent
154,MAS,NOWORD,DIS,150,tado,la,pato,Transparent
155,FEM,WORD,DIS,150,fuga,el,luma,Transparent
156,FEM,NOWORD,AGR,150,luma,la,fuga,Transparent
157,MAS,WORD,AGR,150,nido,el,hico,Transparent
158,MAS,NOWORD,DIS,150,hico,la,nido,Transparent
159,MAS,WORD,DIS,150,giro,la,bilo,Transparent
160,MAS,NOWORD,AGR,150,bilo,el,giro,Transparent
161,MAS,WORD,AGR,150,coro,el,bopo,Transparent
162,MAS,NOWORD,DIS,150,bopo,la,coro,Transparent
163,FEM,WORD,AGR,150,fama,la,laga,Transparent
164,FEM,NOWORD,AGR,150,laga,la,fama,Transparent
165,FEM,WORD,DIS,150,vela,el,dera,Transparent
166,FEM,NOWORD,DIS,150,dera,el,vela,Transparent
167,FEM,WORD,AGR,150,jefa,la,zifa,Transparent
168,FEM,NOWORD,AGR,150,zifa,la,jefa,Transparent
169,MAS,WORD,DIS,150,cubo,la,mibo,Transparent
170,MAS,NOWORD,DIS,150,mibo,la,cubo,Transparent
171,MAS,WORD,AGR,150,hilo,el,niro,Transparent
172,MAS,NOWORD,AGR,150,niro,el,hilo,Transparent
173,FEM,WORD,DIS,150,rosa,el,boma,Transparent
174,FEM,NOWORD,DIS,150,boma,el,rosa,Transparent
175,FEM,WORD,AGR,150,goma,la,hosa,Transparent
176,FEM,NOWORD,AGR,150,hosa,la,goma,Transparent
177,MAS,WORD,DIS,150,reto,la,bito,Transparent
178,MAS,NOWORD,DIS,150,bito,la,reto,Transparent
179,MAS,WORD,AGR,150,toro,el,sono,Transparent
180,MAS,NOWORD,AGR,150,sono,el,toro,Transparent
181,FEM,WORD,DIS,150,seda,el,teda,Transparent
182,FEM,NOWORD,DIS,150,teda,el,seda,Transparent
183,FEM,WORD,AGR,150,raya,la,raad,Transparent
184,FEM,NOWORD,AGR,150,raad,la,raya,Opaque
185,MAS,WORD,DIS,150,baúl,la,raol,Opaque
186,MAS,NOWORD,DIS,150,raol,la,baúl,Opaque
187,MAS,WORD,AGR,150,mito,el,suto,Transparent
188,MAS,NOWORD,AGR,150,suto,el,mito,Transparent
189,MAS,WORD,DIS,150,puño,la,muvo,Transparent
190,MAS,NOWORD,DIS,150,muvo,la,puño,Transparent
191,FEM,WORD,DIS,150,pila,el,bila,Transparent
192,FEM,NOWORD,AGR,150,bila,la,pila,Transparent
193,FEM,WORD,AGR,150,loca,la,foda,Transparent
194,FEM,NOWORD,DIS,150,foda,el,loca,Transparent
195,FEM,WORD,DIS,150,tela,el,sira,Transparent
196,FEM,NOWORD,AGR,150,sira,la,tela,Transparent
197,MAS,WORD,AGR,150,bate,el,dade,Opaque
198,MAS,NOWORD,DIS,150,dade,la,bate,Opaque
199,MAS,WORD,DIS,150,lazo,la,fano,Transparent
200,MAS,NOWORD,AGR,150,fano,el,lazo,Transparent
201,FEM,WORD,AGR,150,cuna,la,cusa,Transparent
202,FEM,NOWORD,DIS,150,cusa,el,cuna,Transparent
