word	frq	zipf	num_letters	Lev_N	
motor	33.246025	4.521740	5	1.750000	
ritmo	29.925746	4.476045	5	1.750000	
salón	33.096872	4.519787	5	1.250000	
actor	29.674996	4.472391	5	1.650000	
bolso	28.576883	4.456015	5	1.650000	
reino	35.169885	4.546171	5	1.350000	
plato	26.936198	4.430336	5	1.100000	
grado	27.106967	4.433081	5	1.100000	
piano	24.878316	4.395821	5	1.600000	
patio	23.609433	4.373086	5	1.350000	
cable	25.301998	4.403155	5	1.300000	
botón	22.805303	4.358036	5	1.500000	
rumbo	23.665636	4.374118	5	1.450000	
túnel	22.057376	4.343554	5	1.900000	
tiempo	1287.689025	6.109811	6	1.900000	
hombre	1138.548826	6.056352	6	1.650000	
dinero	727.422167	5.861787	6	1.900000	
nombre	537.692851	5.730534	6	1.600000	
camino	324.416789	5.511103	6	1.450000	
equipo	229.388927	5.360572	6	1.700000	
cuerpo	218.598020	5.339646	6	1.750000	
número	222.102038	5.346553	6	1.850000	
pueblo	179.545829	5.254175	6	1.850000	
minuto	163.359468	5.213144	6	1.700000	
marido	153.625602	5.186464	6	1.600000	
cuarto	175.116629	5.243327	6	1.650000	
asunto	139.890541	5.145788	6	1.650000	
futuro	133.144062	5.124322	6	1.800000	
estado	624.752907	5.795708	6	1.150000	
ataque	100.127171	5.000552	6	1.650000	
montón	81.489510	4.911102	6	1.550000	
crimen	82.661119	4.917301	6	1.750000	
pasado	386.831986	5.587522	6	1.000000	
precio	69.630752	4.842801	6	1.450000	
abuelo	80.296284	4.904695	6	1.800000	
juicio	70.504054	4.848214	6	1.850000	
cuello	63.649494	4.803795	6	1.750000	
anillo	69.062240	4.839241	6	1.750000	
estilo	62.108244	4.793149	6	1.500000	
verano	59.693692	4.775928	6	1.750000	
camión	57.929794	4.762902	6	1.800000	
motivo	54.903498	4.739600	6	1.600000	
bosque	57.702822	4.761197	6	1.800000	
puente	60.093596	4.778828	6	1.550000	
viento	55.069944	4.740915	6	1.450000	
código	59.546701	4.774858	6	2.150000	
riesgo	49.108140	4.691153	6	1.900000	
seguro	680.283280	5.832690	6	1.800000	
sonido	47.432869	4.676079	6	1.800000	
delito	19.281830	4.285148	6	1.600000	
efecto	42.863162	4.632084	6	1.600000	
jardín	43.900749	4.642472	6	1.950000	
pastel	41.609411	4.619192	6	1.700000	
teatro	43.561372	4.639102	6	1.900000	
parque	43.634868	4.639834	6	1.400000	
pedazo	39.242415	4.593756	6	1.850000	
empleo	38.689035	4.587588	6	1.750000	
tamaño	37.184534	4.570362	6	1.750000	
rostro	37.095906	4.569326	6	1.750000	
examen	36.242058	4.559213	6	1.950000	
correo	36.860287	4.566559	6	1.300000	
tesoro	40.995505	4.612736	6	1.900000	
barrio	35.831347	4.554263	6	1.600000	
abrigo	34.396018	4.536508	6	1.650000	
ladrón	39.445609	4.595999	6	1.750000	
premio	37.813571	4.577648	6	1.400000	
jurado	40.679906	4.609380	6	1.600000	
cheque	32.725070	4.514881	6	1.650000	
espejo	31.259478	4.494982	6	1.650000	
diario	45.757598	4.660463	6	1.800000	
sótano	28.505548	4.454929	6	1.950000	
cuento	47.469617	4.676416	6	1.500000	
helado	34.947236	4.543413	6	1.500000	
rastro	25.598142	4.408208	6	1.450000	
chiste	24.915064	4.396462	6	1.650000	
pánico	25.100965	4.399690	6	1.900000	
título	24.428695	4.387900	6	1.950000	
veneno	24.934519	4.396801	6	1.850000	
océano	25.479252	4.406187	6	2.000000	
objeto	22.589139	4.353900	6	1.650000	
hombro	22.124387	4.344871	6	1.750000	
tanque	22.448633	4.351190	6	1.800000	
cuadro	20.682573	4.315605	6	1.650000	
templo	25.448989	4.405671	6	1.650000	
límite	23.088478	4.363395	6	1.850000	
aceite	20.751745	4.317055	6	1.600000	
sepia	0.198871	2.298571	5	1.800000	
foca	2.347541	3.370613	4	1.000000	
rana	8.309345	3.919567	4	1.000000	
gata	4.515666	3.654722	4	1.000000	
rata	25.278220	4.402746	4	1.000000	
vaca	20.663118	4.315196	4	1.000000	
mula	5.983420	3.776949	4	1.000000	
loba	0.745766	2.872603	4	1.000000	
orca	0.536087	2.729235	4	1.150000	
pulga	1.301307	3.114380	5	1.600000	
cebra	2.031942	3.307911	5	1.500000	
ostra	1.327247	3.122952	5	1.400000	
cobra	9.193455	3.963479	5	1.150000	
cabra	13.021720	4.114668	5	1.000000	
hiena	1.232135	3.090658	5	1.650000	
morsa	1.247266	3.095959	5	1.400000	
oveja	6.407101	3.806662	5	1.800000	
yegua	3.830426	3.583247	5	1.850000	
araña	16.205816	4.209671	5	1.150000	
abeja	6.346575	3.802539	5	1.650000	
mosca	9.757644	3.989345	5	1.250000	
paloma	7.131251	3.853166	6	1.650000	
liebre	3.026296	3.480911	6	1.850000	
iguana	0.620391	2.792665	6	1.850000	
grulla	1.063527	3.026749	6	1.800000	
gacela	1.154316	3.062325	6	1.750000	
perdiz	0.661462	2.820505	6	1.850000	
nutria	0.797645	2.901810	6	1.650000	
jirafa	1.900082	3.278772	6	1.950000	
urraca	0.596613	2.775693	6	1.950000	
avispa	1.567189	3.195121	6	1.750000	
piraña	0.635522	2.803131	6	1.750000	
gamba	0.657139	2.817657	5	1.350000	
víbora	6.668660	3.824039	6	2.300000	
burra	0.745766	2.872603	5	1.250000	
sepia	0.198871	2.298571	5	1.800000	
foca	2.347541	3.370613	4	1.000000	
rana	8.309345	3.919567	4	1.000000	
gata	4.515666	3.654722	4	1.000000	
rata	25.278220	4.402746	4	1.000000	
vaca	20.663118	4.315196	4	1.000000	
mula	5.983420	3.776949	4	1.000000	
loba	0.745766	2.872603	4	1.000000	
orca	0.536087	2.729235	4	1.150000	
pulga	1.301307	3.114380	5	1.600000	
cebra	2.031942	3.307911	5	1.500000	
ostra	1.327247	3.122952	5	1.400000	
cobra	9.193455	3.963479	5	1.150000	
cabra	13.021720	4.114668	5	1.000000	
hiena	1.232135	3.090658	5	1.650000	
morsa	1.247266	3.095959	5	1.400000	
oveja	6.407101	3.806662	5	1.800000	
yegua	3.830426	3.583247	5	1.850000	
araña	16.205816	4.209671	5	1.150000	
abeja	6.346575	3.802539	5	1.650000	
mosca	9.757644	3.989345	5	1.250000	
paloma	7.131251	3.853166	6	1.650000	
liebre	3.026296	3.480911	6	1.850000	
iguana	0.620391	2.792665	6	1.850000	
grulla	1.063527	3.026749	6	1.800000	
gacela	1.154316	3.062325	6	1.750000	
perdiz	0.661462	2.820505	6	1.850000	
nutria	0.797645	2.901810	6	1.650000	
jirafa	1.900082	3.278772	6	1.950000	
urraca	0.596613	2.775693	6	1.950000	
avispa	1.567189	3.195121	6	1.750000	
piraña	0.635522	2.803131	6	1.750000	
gamba	0.657139	2.817657	5	1.350000	
víbora	6.668660	3.824039	6	2.300000	
burra	0.745766	2.872603	5	1.250000	
ganso	4.794518	3.680745	5	1.550000	
gato	54.970508	4.740130	4	1.000000	
mono	34.988307	4.543923	4	1.000000	
lobo	28.492579	4.454732	4	1.000000	
pavo	14.461372	4.160209	4	1.000000	
león	20.023273	4.301535	4	1.550000	
pato	13.856113	4.141641	4	1.000000	
toro	12.844466	4.108716	4	1.000000	
topo	4.762093	3.677798	4	1.000000	
loro	4.091985	3.611934	4	1.000000	
atún	5.639719	3.751257	4	1.850000	
perro	156.541655	5.194630	5	1.100000	
cerdo	48.677974	4.687332	5	1.300000	
pollo	40.684229	4.609426	5	1.200000	
piojo	0.564188	2.751424	5	1.900000	
tigre	17.038048	4.231420	5	1.750000	
lince	0.808453	2.907655	5	1.600000	
erizo	0.760897	2.881326	5	1.700000	
cisne	4.383806	3.641851	5	1.900000	
pulpo	2.682595	3.428555	5	1.650000	
mirlo	0.830070	2.919115	5	1.500000	
pájaro	30.954687	4.490726	6	1.850000	
coyote	3.298663	3.518338	6	1.850000	
conejo	19.655794	4.293491	6	1.650000	
gorila	5.276564	3.722351	6	1.900000	
narval	0.185901	2.269282	6	1.900000	
buitre	2.276207	3.357212	6	1.950000	
chacal	1.746605	3.242195	6	1.900000	
ratón	13.970680	4.145218	5	1.500000	
búho	2.920376	3.465439	4	1.950000	
koala	0.501501	2.700272	5	1.850000	
castor	3.955801	3.597234	6	1.600000	
gallo	6.960481	3.842639	5	1.100000	
ciervo	5.179290	3.714270	6	1.550000	
ganso	4.794518	3.680745	5	1.550000	
gato	54.970508	4.740130	4	1.000000	
mono	34.988307	4.543923	4	1.000000	
lobo	28.492579	4.454732	4	1.000000	
pavo	14.461372	4.160209	4	1.000000	
león	20.023273	4.301535	4	1.550000	
pato	13.856113	4.141641	4	1.000000	
toro	12.844466	4.108716	4	1.000000	
topo	4.762093	3.677798	4	1.000000	
loro	4.091985	3.611934	4	1.000000	
atún	5.639719	3.751257	4	1.850000	
perro	156.541655	5.194630	5	1.100000	
cerdo	48.677974	4.687332	5	1.300000	
pollo	40.684229	4.609426	5	1.200000	
piojo	0.564188	2.751424	5	1.900000	
tigre	17.038048	4.231420	5	1.750000	
lince	0.808453	2.907655	5	1.600000	
erizo	0.760897	2.881326	5	1.700000	
cisne	4.383806	3.641851	5	1.900000	
pulpo	2.682595	3.428555	5	1.650000	
mirlo	0.830070	2.919115	5	1.500000	
pájaro	30.954687	4.490726	6	1.850000	
coyote	3.298663	3.518338	6	1.850000	
conejo	19.655794	4.293491	6	1.650000	
gorila	5.276564	3.722351	6	1.900000	
narval	0.185901	2.269282	6	1.900000	
buitre	2.276207	3.357212	6	1.950000	
chacal	1.746605	3.242195	6	1.900000	
ratón	13.970680	4.145218	5	1.500000	
búho	2.920376	3.465439	4	1.950000	
koala	0.501501	2.700272	5	1.850000	
castor	3.955801	3.597234	6	1.600000	
gallo	6.960481	3.842639	5	1.100000	
ciervo	5.179290	3.714270	6	1.550000	
